type,sentence
singular,One [wug].
singular,A single [wug].
singular,There sits a [wug].
singular,I spotted a [wug].
singular,That is definitely a [wug].
singular,The [wug] shook its tail before running away.
singular,Beneath the stairs crouched a frightened [wug].
singular,Does the [wug] always come back at night?
singular,One [wug] carries a small leaf in its mouth.
singular,The [wug] near the window makes a soft sound.
singular,A [wug] appeared from behind the curtain.
singular,That [wug] seems friendlier than the others.
singular,Along the path I discovered a lone [wug].
singular,The [wug] was climbing the hill before sunset.
singular,Curled up in the corner was a sleeping [wug].
plural,Several [wugs].
plural,A few [wugs].
plural,There sit some [wugs].
plural,I spotted some [wugs].
plural,Those are definitely [wugs].
plural,The [wugs] shook their tails before running away.
plural,Beneath the stairs crouched several frightened [wugs].
plural,Do the [wugs] always come back at night?
plural,Many [wugs] carry small leaves in their mouths.
plural,The [wugs] near the window make a soft sound.
plural,A dozen [wugs] appeared from behind the curtain.
plural,Those [wugs] seem friendlier than the others.
plural,Along the path I discovered a group of [wugs].
plural,The [wugs] were climbing the hill before sunset.
plural,Curled up in the corner were several sleeping [wugs].
