hook,layer,tok,unit,attribution
mlp_act,22,5,164,0.1148572638630867
mlp_act,22,6,721,0.0918373391032219
mlp_act,22,11,164,0.08057605475187302
mlp_act,27,5,793,0.07575499266386032
mlp_act,27,11,793,0.0649891123175621
mlp_act,12,5,24,0.04681609943509102
mlp_act,22,5,571,0.03788204863667488
mlp_act,27,8,793,0.03678028658032417
mlp_act,22,11,4518,0.033546123653650284
mlp_act,27,6,793,0.03202987462282181
mlp_act,22,6,540,0.030050333589315414
mlp_act,22,5,721,0.028293976560235023
mlp_act,22,6,8579,0.027912715449929237
mlp_act,27,11,161,0.025701574981212616
mlp_act,22,6,790,0.024935631081461906
mlp_act,22,5,790,0.023446835577487946
mlp_act,22,11,997,0.02064632810652256
mlp_act,7,5,2480,0.019258715212345123
mlp_act,2,5,1016,0.019101131707429886
mlp_act,27,5,137,0.018742172047495842
mlp_act,27,5,329,0.018551012501120567
mlp_act,27,11,477,0.018029790371656418
mlp_act,22,5,1886,0.017261773347854614
mlp_act,12,11,7776,0.015276455320417881
mlp_act,22,11,2799,0.014792051166296005
mlp_act,22,11,73,0.01384994201362133
mlp_act,2,5,1412,0.01298613753169775
mlp_act,22,6,571,0.01296211127191782
mlp_act,22,6,2459,0.01270104106515646
mlp_act,27,8,161,0.012456784024834633
mlp_act,22,8,73,0.012447087094187737
mlp_act,22,7,721,0.012300117872655392
mlp_act,22,8,164,0.012267244048416615
mlp_act,22,11,1886,0.011895895004272461
mlp_act,22,5,997,0.011491264216601849
mlp_act,22,5,3009,0.0114804208278656
mlp_act,22,11,790,0.010975799523293972
mlp_act,7,8,1381,0.010914208367466927
mlp_act,17,5,2342,0.01089324802160263
mlp_act,22,5,1836,0.010723678395152092
mlp_act,27,11,4059,0.010606150142848492
mlp_act,22,11,6640,0.010126335546374321
mlp_act,7,6,778,0.010044184513390064
mlp_act,7,5,9,0.0099995918571949
mlp_act,22,5,8579,0.009981638751924038
mlp_act,22,11,7661,0.00990266352891922
mlp_act,22,6,997,0.009744018316268921
mlp_act,27,8,477,0.009536327794194221
mlp_act,27,11,963,0.009060606360435486
mlp_act,7,6,2901,0.009059419855475426
mlp_act,27,5,627,0.008753122761845589
mlp_act,22,5,5409,0.008303695358335972
mlp_act,17,11,3916,0.008188530802726746
mlp_act,22,6,164,0.007876900024712086
mlp_act,22,5,2459,0.0077673750929534435
mlp_act,27,11,2668,0.007094134110957384
mlp_act,27,11,5816,0.007072374224662781
mlp_act,7,11,1381,0.007057039998471737
mlp_act,22,6,1836,0.006758510135114193
mlp_act,27,11,626,0.006692398805171251
mlp_act,22,11,932,0.00654476648196578
mlp_act,27,5,2257,0.006331383250653744
mlp_act,22,5,7182,0.00609779404476285
mlp_act,7,6,2692,0.006063985172659159
mlp_act,22,11,603,0.005913785193115473
mlp_act,22,11,4632,0.005835959687829018
mlp_act,27,11,329,0.005825698841363192
mlp_act,7,6,3221,0.00546472892165184
mlp_act,22,11,3876,0.005410878453403711
mlp_act,22,5,1781,0.0053604720160365105
mlp_act,12,6,7787,0.005342378281056881
mlp_act,27,8,471,0.005262390244752169
mlp_act,27,11,5272,0.005158819258213043
mlp_act,27,5,797,0.005158152896910906
mlp_act,12,6,24,0.005099841859191656
mlp_act,22,11,5433,0.00504132267087698
mlp_act,22,11,7997,0.004978639539331198
mlp_act,12,8,7776,0.004965264815837145
mlp_act,27,5,2894,0.004957733675837517
mlp_act,7,6,5775,0.004937040153890848
mlp_act,27,11,8171,0.004925756249576807
mlp_act,22,11,9581,0.0049043213948607445
mlp_act,22,11,4355,0.004892429802566767
mlp_act,7,5,5775,0.00489033991470933
mlp_act,27,11,471,0.004829511046409607
mlp_act,22,11,688,0.004820321220904589
mlp_act,27,8,1080,0.004818418994545937
mlp_act,17,6,7101,0.004801752045750618
mlp_act,7,6,218,0.004724822007119656
mlp_act,22,5,1359,0.004724452272057533
mlp_act,22,8,6640,0.004513150081038475
mlp_act,17,5,3916,0.004483404103666544
mlp_act,22,11,913,0.004414173308759928
mlp_act,27,5,732,0.004389154724776745
mlp_act,22,11,2005,0.004371304996311665
mlp_act,22,8,2799,0.004368036985397339
mlp_act,22,11,5840,0.004360928665846586
mlp_act,27,11,4376,0.004315103404223919
mlp_act,27,8,5816,0.004257162567228079
mlp_act,27,11,8937,0.004135258961468935
mlp_act,12,6,7064,0.004065202549099922
mlp_act,12,6,6495,0.003972325008362532
mlp_act,27,11,3212,0.0039209178648889065
mlp_act,22,11,5478,0.003916346933692694
mlp_act,27,11,409,0.003904287237673998
mlp_act,22,11,6623,0.003839321667328477
mlp_act,27,5,327,0.00382735813036561
mlp_act,22,5,1678,0.003785056294873357
mlp_act,7,11,2480,0.0037740531843155622
mlp_act,17,6,6407,0.0037383122835308313
mlp_act,22,5,1914,0.0036911149509251118
mlp_act,22,11,2533,0.0036875042133033276
mlp_act,22,11,7414,0.0036391105968505144
mlp_act,27,11,8434,0.003545863553881645
mlp_act,27,11,676,0.0035452237352728844
mlp_act,27,11,2368,0.003536044852808118
mlp_act,22,11,756,0.003535147523507476
mlp_act,27,5,480,0.0034933271817862988
mlp_act,17,11,5889,0.0034569965209811926
mlp_act,22,8,3876,0.0033785987179726362
mlp_act,7,6,2480,0.003373140702024102
mlp_act,7,8,622,0.003340945579111576
mlp_act,22,11,1781,0.0033327292185276747
mlp_act,22,5,888,0.0033307315316051245
mlp_act,27,11,341,0.0033070752397179604
mlp_act,27,11,5666,0.003288970561698079
mlp_act,22,7,790,0.0032728228252381086
mlp_act,22,11,529,0.003250927198678255
