idx,split,target_type,attractors,target_num,condition,subject_word,target_word,base_sentence,good,bad,tok_len
0,train,verb,0,pl,target_verb_num_pl_att0_sg,pigs,lower,The murky pigs,The murky pigs lower,The murky pigs lowers,4
1,train,verb,0,pl,target_verb_num_pl_att0_sg,pigs,remain,The elderly pigs,The elderly pigs remain,The elderly pigs remains,4
2,train,verb,0,pl,target_verb_num_pl_att0_sg,bats,range,The cool bats,The cool bats range,The cool bats ranges,4
3,train,verb,0,sg,target_verb_num_sg_att0_pl,monitor,lowers,The brown monitor,The brown monitor lowers,The brown monitor lower,4
4,train,verb,0,pl,target_verb_num_pl_att0_sg,bats,drop,The elderly bats,The elderly bats drop,The elderly bats drops,4
5,train,verb,0,pl,target_verb_num_pl_att0_sg,monitors,lower,The brown monitors,The brown monitors lower,The brown monitors lowers,4
6,train,verb,0,pl,target_verb_num_pl_att0_sg,seals,stamp,The massive seals,The massive seals stamp,The massive seals stamps,4
7,train,verb,0,pl,target_verb_num_pl_att0_sg,seals,pause,The chilly seals,The chilly seals pause,The chilly seals pauses,4
8,train,verb,0,sg,target_verb_num_sg_att0_pl,duck,floats,The sleek duck,The sleek duck floats,The sleek duck float,4
9,train,verb,0,pl,target_verb_num_pl_att0_sg,bats,grip,The brisk bats,The brisk bats grip,The brisk bats grips,4
10,train,verb,0,pl,target_verb_num_pl_att0_sg,monitors,rotate,The fierce monitors,The fierce monitors rotate,The fierce monitors rotates,4
11,train,verb,0,pl,target_verb_num_pl_att0_sg,bats,grab,The red bats,The red bats grab,The red bats grabs,4
12,train,verb,0,sg,target_verb_num_sg_att0_pl,pig,tracks,The massive pig,The massive pig tracks,The massive pig track,4
13,train,verb,0,pl,target_verb_num_pl_att0_sg,pandas,wake,The quick pandas,The quick pandas wake,The quick pandas wakes,4
14,train,verb,0,sg,target_verb_num_sg_att0_pl,duck,stamps,The vast duck,The vast duck stamps,The vast duck stamp,4
15,train,verb,0,sg,target_verb_num_sg_att0_pl,pig,remains,The elderly pig,The elderly pig remains,The elderly pig remain,4
16,train,verb,0,pl,target_verb_num_pl_att0_sg,ducks,float,The big ducks,The big ducks float,The big ducks floats,4
17,train,verb,0,pl,target_verb_num_pl_att0_sg,pigs,gather,The cheerful pigs,The cheerful pigs gather,The cheerful pigs gathers,4
18,train,verb,0,pl,target_verb_num_pl_att0_sg,pandas,rotate,The glossy pandas,The glossy pandas rotate,The glossy pandas rotates,4
19,train,verb,0,sg,target_verb_num_sg_att0_pl,duck,drops,The wild duck,The wild duck drops,The wild duck drop,4
20,train,verb,0,pl,target_verb_num_pl_att0_sg,ducks,pause,The glossy ducks,The glossy ducks pause,The glossy ducks pauses,4
21,train,verb,0,sg,target_verb_num_sg_att0_pl,bat,grabs,The red bat,The red bat grabs,The red bat grab,4
22,train,verb,0,pl,target_verb_num_pl_att0_sg,ducks,grab,The joyful ducks,The joyful ducks grab,The joyful ducks grabs,4
23,train,verb,0,pl,target_verb_num_pl_att0_sg,bats,dance,The sturdy bats,The sturdy bats dance,The sturdy bats dances,4
24,train,verb,0,sg,target_verb_num_sg_att0_pl,monitor,ranges,The yellow monitor,The yellow monitor ranges,The yellow monitor range,4
25,train,verb,0,pl,target_verb_num_pl_att0_sg,ducks,hop,The tame ducks,The tame ducks hop,The tame ducks hops,4
26,train,verb,0,pl,target_verb_num_pl_att0_sg,bats,float,The robust bats,The robust bats float,The robust bats floats,4
27,train,verb,0,pl,target_verb_num_pl_att0_sg,birds,spring,The tame birds,The tame birds spring,The tame birds springs,4
28,train,verb,0,sg,target_verb_num_sg_att0_pl,panda,pauses,The vivid panda,The vivid panda pauses,The vivid panda pause,4
29,train,verb,0,sg,target_verb_num_sg_att0_pl,monitor,orbits,The big monitor,The big monitor orbits,The big monitor orbit,4
30,train,verb,0,sg,target_verb_num_sg_att0_pl,duck,hops,The tame duck,The tame duck hops,The tame duck hop,4
