idx,split,target_type,attractors,condition,subject_word_sg,subject_word_pl,target_word_sg,target_word_pl,base_sentence_sg,base_sentence_pl,good_singular,bad_singular,good_plural,bad_plural,tok_len_sg,tok_len_pl
0,test,verb,0,target_verb_att0_opp,[wug],[wugs],pours,pour,The clever [wug],The clever [wugs],The clever [wug] pours,The clever [wug] pour,The clever [wugs] pour,The clever [wugs] pours,7,7
1,test,verb,0,target_verb_att0_opp,[wug],[wugs],hops,hop,The translucent [wug],The translucent [wugs],The translucent [wug] hops,The translucent [wug] hop,The translucent [wugs] hop,The translucent [wugs] hops,7,7
2,test,verb,0,target_verb_att0_opp,[wug],[wugs],claws,claw,The social [wug],The social [wugs],The social [wug] claws,The social [wug] claw,The social [wugs] claw,The social [wugs] claws,7,7
3,test,verb,0,target_verb_att0_opp,[wug],[wugs],lifts,lift,The remote [wug],The remote [wugs],The remote [wug] lifts,The remote [wug] lift,The remote [wugs] lift,The remote [wugs] lifts,7,7
4,test,verb,0,target_verb_att0_opp,[wug],[wugs],rocks,rock,The copper [wug],The copper [wugs],The copper [wug] rocks,The copper [wug] rock,The copper [wugs] rock,The copper [wugs] rocks,7,7
5,test,verb,0,target_verb_att0_opp,[wug],[wugs],clicks,click,The playful [wug],The playful [wugs],The playful [wug] clicks,The playful [wug] click,The playful [wugs] click,The playful [wugs] clicks,7,7
6,test,verb,0,target_verb_att0_opp,[wug],[wugs],sleeps,sleep,The ancient [wug],The ancient [wugs],The ancient [wug] sleeps,The ancient [wug] sleep,The ancient [wugs] sleep,The ancient [wugs] sleeps,7,7
7,test,verb,0,target_verb_att0_opp,[wug],[wugs],claws,claw,The mustard [wug],The mustard [wugs],The mustard [wug] claws,The mustard [wug] claw,The mustard [wugs] claw,The mustard [wugs] claws,7,7
8,test,verb,0,target_verb_att0_opp,[wug],[wugs],clicks,click,The lime [wug],The lime [wugs],The lime [wug] clicks,The lime [wug] click,The lime [wugs] click,The lime [wugs] clicks,7,7
9,test,verb,0,target_verb_att0_opp,[wug],[wugs],cocks,cock,The hard [wug],The hard [wugs],The hard [wug] cocks,The hard [wug] cock,The hard [wugs] cock,The hard [wugs] cocks,7,7
10,test,verb,0,target_verb_att0_opp,[wug],[wugs],wheels,wheel,The mint [wug],The mint [wugs],The mint [wug] wheels,The mint [wug] wheel,The mint [wugs] wheel,The mint [wugs] wheels,7,7
11,test,verb,0,target_verb_att0_opp,[wug],[wugs],orbits,orbit,The striped [wug],The striped [wugs],The striped [wug] orbits,The striped [wug] orbit,The striped [wugs] orbit,The striped [wugs] orbits,7,7
12,test,verb,0,target_verb_att0_opp,[wug],[wugs],approaches,approach,The clean [wug],The clean [wugs],The clean [wug] approaches,The clean [wug] approach,The clean [wugs] approach,The clean [wugs] approaches,7,7
13,test,verb,0,target_verb_att0_opp,[wug],[wugs],springs,spring,The dotted [wug],The dotted [wugs],The dotted [wug] springs,The dotted [wug] spring,The dotted [wugs] spring,The dotted [wugs] springs,7,7
14,test,verb,0,target_verb_att0_opp,[wug],[wugs],clicks,click,The dazzling [wug],The dazzling [wugs],The dazzling [wug] clicks,The dazzling [wug] click,The dazzling [wugs] click,The dazzling [wugs] clicks,7,7
15,test,verb,0,target_verb_att0_opp,[wug],[wugs],hops,hop,The shiny [wug],The shiny [wugs],The shiny [wug] hops,The shiny [wug] hop,The shiny [wugs] hop,The shiny [wugs] hops,7,7
16,test,verb,0,target_verb_att0_opp,[wug],[wugs],walks,walk,The sturdy [wug],The sturdy [wugs],The sturdy [wug] walks,The sturdy [wug] walk,The sturdy [wugs] walk,The sturdy [wugs] walks,7,7
17,test,verb,0,target_verb_att0_opp,[wug],[wugs],wheels,wheel,The playful [wug],The playful [wugs],The playful [wug] wheels,The playful [wug] wheel,The playful [wugs] wheel,The playful [wugs] wheels,7,7
18,test,verb,0,target_verb_att0_opp,[wug],[wugs],raises,raise,The juicy [wug],The juicy [wugs],The juicy [wug] raises,The juicy [wug] raise,The juicy [wugs] raise,The juicy [wugs] raises,7,7
19,test,verb,0,target_verb_att0_opp,[wug],[wugs],settles,settle,The transparent [wug],The transparent [wugs],The transparent [wug] settles,The transparent [wug] settle,The transparent [wugs] settle,The transparent [wugs] settles,7,7
20,test,verb,0,target_verb_att0_opp,[wug],[wugs],remains,remain,The dotted [wug],The dotted [wugs],The dotted [wug] remains,The dotted [wug] remain,The dotted [wugs] remain,The dotted [wugs] remains,7,7
21,test,verb,0,target_verb_att0_opp,[wug],[wugs],swims,swim,The silent [wug],The silent [wugs],The silent [wug] swims,The silent [wug] swim,The silent [wugs] swim,The silent [wugs] swims,7,7
22,test,verb,0,target_verb_att0_opp,[wug],[wugs],drums,drum,The crisp [wug],The crisp [wugs],The crisp [wug] drums,The crisp [wug] drum,The crisp [wugs] drum,The crisp [wugs] drums,7,7
