idx,split,target_type,attractors,target_num,condition,subject_word,target_word,base_sentence,good,bad,tok_len
0,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],charge,The idle [wugs],The idle [wugs] charge,The idle [wugs] charges,7
1,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],wait,The major [wugs],The major [wugs] wait,The major [wugs] waits,7
2,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],plays,The opaque [wug],The opaque [wug] plays,The opaque [wug] play,7
3,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],charge,The remote [wugs],The remote [wugs] charge,The remote [wugs] charges,7
4,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],feeds,The nervous [wug],The nervous [wug] feeds,The nervous [wug] feed,7
5,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],races,The hairy [wug],The hairy [wug] races,The hairy [wug] race,7
6,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],drinks,The savage [wug],The savage [wug] drinks,The savage [wug] drink,7
7,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],arrive,The quiet [wugs],The quiet [wugs] arrive,The quiet [wugs] arrives,7
8,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],plays,The lively [wug],The lively [wug] plays,The lively [wug] play,7
9,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],leans,The barren [wug],The barren [wug] leans,The barren [wug] lean,7
10,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],waits,The calm [wug],The calm [wug] waits,The calm [wug] wait,7
11,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],spin,The sluggish [wugs],The sluggish [wugs] spin,The sluggish [wugs] spins,7
12,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],feed,The soft [wugs],The soft [wugs] feed,The soft [wugs] feeds,7
13,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],race,The juvenile [wugs],The juvenile [wugs] race,The juvenile [wugs] races,7
14,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],plays,The foolish [wug],The foolish [wug] plays,The foolish [wug] play,7
15,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],spins,The rigid [wug],The rigid [wug] spins,The rigid [wug] spin,7
16,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],clears,The flawless [wug],The flawless [wug] clears,The flawless [wug] clear,7
17,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],wait,The white [wugs],The white [wugs] wait,The white [wugs] waits,7
18,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],circles,The restless [wug],The restless [wug] circles,The restless [wug] circle,7
19,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],spins,The mild [wug],The mild [wug] spins,The mild [wug] spin,7
20,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],spins,The dirty [wug],The dirty [wug] spins,The dirty [wug] spin,7
21,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],races,The mild [wug],The mild [wug] races,The mild [wug] race,7
22,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],leans,The soft [wug],The soft [wug] leans,The soft [wug] lean,7
23,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],race,The pristine [wugs],The pristine [wugs] race,The pristine [wugs] races,7
24,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],lean,The raw [wugs],The raw [wugs] lean,The raw [wugs] leans,7
25,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],circles,The straight [wug],The straight [wug] circles,The straight [wug] circle,7
26,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],leans,The smooth [wug],The smooth [wug] leans,The smooth [wug] lean,7
27,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],arrive,The collected [wugs],The collected [wugs] arrive,The collected [wugs] arrives,7
28,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],clear,The savage [wugs],The savage [wugs] clear,The savage [wugs] clears,7
29,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],rise,The icy [wugs],The icy [wugs] rise,The icy [wugs] rises,7
30,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],lean,The kindly [wugs],The kindly [wugs] lean,The kindly [wugs] leans,7
31,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],waits,The erratic [wug],The erratic [wug] waits,The erratic [wug] wait,7
32,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],roots,The mature [wug],The mature [wug] roots,The mature [wug] root,7
33,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],rise,The savory [wugs],The savory [wugs] rise,The savory [wugs] rises,7
34,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],stretches,The lean [wug],The lean [wug] stretches,The lean [wug] stretch,7
35,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],stretch,The major [wugs],The major [wugs] stretch,The major [wugs] stretches,7
36,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],root,The solid [wugs],The solid [wugs] root,The solid [wugs] roots,7
37,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],lean,The dark [wugs],The dark [wugs] lean,The dark [wugs] leans,7
38,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],leans,The diligent [wug],The diligent [wug] leans,The diligent [wug] lean,7
39,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],drums,The eager [wug],The eager [wug] drums,The eager [wug] drum,7
40,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],roots,The bitter [wug],The bitter [wug] roots,The bitter [wug] root,7
41,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],race,The dark [wugs],The dark [wugs] race,The dark [wugs] races,7
42,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],stretches,The purple [wug],The purple [wug] stretches,The purple [wug] stretch,7
43,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],feeds,The inert [wug],The inert [wug] feeds,The inert [wug] feed,7
44,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],feed,The awkward [wugs],The awkward [wugs] feed,The awkward [wugs] feeds,7
45,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],drink,The major [wugs],The major [wugs] drink,The major [wugs] drinks,7
46,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],dives,The frail [wug],The frail [wug] dives,The frail [wug] dive,7
47,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],drum,The sharp [wugs],The sharp [wugs] drum,The sharp [wugs] drums,7
48,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],arrives,The translucent [wug],The translucent [wug] arrives,The translucent [wug] arrive,7
49,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],root,The smooth [wugs],The smooth [wugs] root,The smooth [wugs] roots,7
50,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],stretch,The slender [wugs],The slender [wugs] stretch,The slender [wugs] stretches,7
51,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],charge,The pristine [wugs],The pristine [wugs] charge,The pristine [wugs] charges,7
52,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],race,The weary [wugs],The weary [wugs] race,The weary [wugs] races,7
53,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],roots,The wide [wug],The wide [wug] roots,The wide [wug] root,7
54,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],clear,The smooth [wugs],The smooth [wugs] clear,The smooth [wugs] clears,7
55,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],drum,The soft [wugs],The soft [wugs] drum,The soft [wugs] drums,7
56,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],drink,The humid [wugs],The humid [wugs] drink,The humid [wugs] drinks,7
57,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],sail,The slight [wugs],The slight [wugs] sail,The slight [wugs] sails,7
58,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],race,The inert [wugs],The inert [wugs] race,The inert [wugs] races,7
59,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],sail,The fluffy [wugs],The fluffy [wugs] sail,The fluffy [wugs] sails,7
60,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],arrives,The visible [wug],The visible [wug] arrives,The visible [wug] arrive,7
61,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],play,The bold [wugs],The bold [wugs] play,The bold [wugs] plays,7
62,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],spin,The visible [wugs],The visible [wugs] spin,The visible [wugs] spins,7
63,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],rise,The muscular [wugs],The muscular [wugs] rise,The muscular [wugs] rises,7
64,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],roots,The clever [wug],The clever [wug] roots,The clever [wug] root,7
65,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],lean,The blatant [wugs],The blatant [wugs] lean,The blatant [wugs] leans,7
66,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],root,The hairy [wugs],The hairy [wugs] root,The hairy [wugs] roots,7
67,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],roots,The erratic [wug],The erratic [wug] roots,The erratic [wug] root,7
68,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],races,The bitter [wug],The bitter [wug] races,The bitter [wug] race,7
69,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],feed,The bitter [wugs],The bitter [wugs] feed,The bitter [wugs] feeds,7
70,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],lean,The blue [wugs],The blue [wugs] lean,The blue [wugs] leans,7
71,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],race,The translucent [wugs],The translucent [wugs] race,The translucent [wugs] races,7
72,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],dives,The foolish [wug],The foolish [wug] dives,The foolish [wug] dive,7
73,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],spins,The lazy [wug],The lazy [wug] spins,The lazy [wug] spin,7
74,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],drums,The fluffy [wug],The fluffy [wug] drums,The fluffy [wug] drum,7
75,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],rise,The compact [wugs],The compact [wugs] rise,The compact [wugs] rises,7
76,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],dives,The icy [wug],The icy [wug] dives,The icy [wug] dive,7
77,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],lean,The soft [wugs],The soft [wugs] lean,The soft [wugs] leans,7
78,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],drum,The wise [wugs],The wise [wugs] drum,The wise [wugs] drums,7
79,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],root,The foolish [wugs],The foolish [wugs] root,The foolish [wugs] roots,7
80,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],spin,The dirty [wugs],The dirty [wugs] spin,The dirty [wugs] spins,7
81,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],arrives,The calm [wug],The calm [wug] arrives,The calm [wug] arrive,7
82,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],rise,The flawless [wugs],The flawless [wugs] rise,The flawless [wugs] rises,7
83,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],sails,The savage [wug],The savage [wug] sails,The savage [wug] sail,7
84,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],circle,The calm [wugs],The calm [wugs] circle,The calm [wugs] circles,7
85,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],waits,The dim [wug],The dim [wug] waits,The dim [wug] wait,7
86,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],charge,The crisp [wugs],The crisp [wugs] charge,The crisp [wugs] charges,7
87,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],sails,The sluggish [wug],The sluggish [wug] sails,The sluggish [wug] sail,7
88,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],arrives,The little [wug],The little [wug] arrives,The little [wug] arrive,7
89,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],lean,The amber [wugs],The amber [wugs] lean,The amber [wugs] leans,7
90,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],lifts,The faded [wug],The faded [wug] lifts,The faded [wug] lift,7
91,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],spin,The angry [wugs],The angry [wugs] spin,The angry [wugs] spins,7
92,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],clear,The narrow [wugs],The narrow [wugs] clear,The narrow [wugs] clears,7
93,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],races,The shy [wug],The shy [wug] races,The shy [wug] race,7
94,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],lift,The visible [wugs],The visible [wugs] lift,The visible [wugs] lifts,7
95,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],lift,The cruel [wugs],The cruel [wugs] lift,The cruel [wugs] lifts,7
96,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],drum,The dull [wugs],The dull [wugs] drum,The dull [wugs] drums,7
97,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],lean,The cold [wugs],The cold [wugs] lean,The cold [wugs] leans,7
98,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],spin,The rigid [wugs],The rigid [wugs] spin,The rigid [wugs] spins,7
99,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],race,The matte [wugs],The matte [wugs] race,The matte [wugs] races,7
100,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],arrive,The clever [wugs],The clever [wugs] arrive,The clever [wugs] arrives,7
101,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],leans,The fragile [wug],The fragile [wug] leans,The fragile [wug] lean,7
102,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],wait,The mighty [wugs],The mighty [wugs] wait,The mighty [wugs] waits,7
103,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],drink,The pristine [wugs],The pristine [wugs] drink,The pristine [wugs] drinks,7
104,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],races,The large [wug],The large [wug] races,The large [wug] race,7
105,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],stretch,The nervous [wugs],The nervous [wugs] stretch,The nervous [wugs] stretches,7
106,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],clear,The youthful [wugs],The youthful [wugs] clear,The youthful [wugs] clears,7
107,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],play,The dusty [wugs],The dusty [wugs] play,The dusty [wugs] plays,7
108,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],lifts,The hairy [wug],The hairy [wug] lifts,The hairy [wug] lift,7
109,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],rises,The white [wug],The white [wug] rises,The white [wug] rise,7
110,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],leans,The white [wug],The white [wug] leans,The white [wug] lean,7
111,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],sails,The awkward [wug],The awkward [wug] sails,The awkward [wug] sail,7
112,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],leans,The transparent [wug],The transparent [wug] leans,The transparent [wug] lean,7
113,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],roots,The tender [wug],The tender [wug] roots,The tender [wug] root,7
114,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],leans,The bright [wug],The bright [wug] leans,The bright [wug] lean,7
115,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],charges,The agile [wug],The agile [wug] charges,The agile [wug] charge,7
116,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],stretch,The manic [wugs],The manic [wugs] stretch,The manic [wugs] stretches,7
117,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],charge,The clever [wugs],The clever [wugs] charge,The clever [wugs] charges,7
118,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],roots,The lonely [wug],The lonely [wug] roots,The lonely [wug] root,7
119,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],root,The transparent [wugs],The transparent [wugs] root,The transparent [wugs] roots,7
120,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],plays,The broad [wug],The broad [wug] plays,The broad [wug] play,7
121,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],race,The opaque [wugs],The opaque [wugs] race,The opaque [wugs] races,7
122,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],sails,The straight [wug],The straight [wug] sails,The straight [wug] sail,7
123,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],feed,The tender [wugs],The tender [wugs] feed,The tender [wugs] feeds,7
124,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],sails,The frail [wug],The frail [wug] sails,The frail [wug] sail,7
125,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],lean,The angry [wugs],The angry [wugs] lean,The angry [wugs] leans,7
126,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],root,The tender [wugs],The tender [wugs] root,The tender [wugs] roots,7
127,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],circles,The barren [wug],The barren [wug] circles,The barren [wug] circle,7
128,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],circle,The barren [wugs],The barren [wugs] circle,The barren [wugs] circles,7
129,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],clears,The large [wug],The large [wug] clears,The large [wug] clear,7
130,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],charges,The sharp [wug],The sharp [wug] charges,The sharp [wug] charge,7
131,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],plays,The hot [wug],The hot [wug] plays,The hot [wug] play,7
132,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],arrive,The wise [wugs],The wise [wugs] arrive,The wise [wugs] arrives,7
133,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],drink,The busy [wugs],The busy [wugs] drink,The busy [wugs] drinks,7
134,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],charge,The dark [wugs],The dark [wugs] charge,The dark [wugs] charges,7
135,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],lifts,The kindly [wug],The kindly [wug] lifts,The kindly [wug] lift,7
136,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],drums,The mature [wug],The mature [wug] drums,The mature [wug] drum,7
137,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],drinks,The warm [wug],The warm [wug] drinks,The warm [wug] drink,7
138,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],stretch,The biting [wugs],The biting [wugs] stretch,The biting [wugs] stretches,7
139,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],drinks,The juvenile [wug],The juvenile [wug] drinks,The juvenile [wug] drink,7
140,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],wait,The shiny [wugs],The shiny [wugs] wait,The shiny [wugs] waits,7
141,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],drink,The kindly [wugs],The kindly [wugs] drink,The kindly [wugs] drinks,7
142,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],rise,The bright [wugs],The bright [wugs] rise,The bright [wugs] rises,7
143,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],drums,The bitter [wug],The bitter [wug] drums,The bitter [wug] drum,7
144,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],arrives,The barren [wug],The barren [wug] arrives,The barren [wug] arrive,7
145,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],plays,The alert [wug],The alert [wug] plays,The alert [wug] play,7
146,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],drink,The savage [wugs],The savage [wugs] drink,The savage [wugs] drinks,7
147,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],drinks,The large [wug],The large [wug] drinks,The large [wug] drink,7
148,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],rises,The angry [wug],The angry [wug] rises,The angry [wug] rise,7
149,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],circles,The lonely [wug],The lonely [wug] circles,The lonely [wug] circle,7
150,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],feed,The weary [wugs],The weary [wugs] feed,The weary [wugs] feeds,7
151,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],drums,The bright [wug],The bright [wug] drums,The bright [wug] drum,7
152,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],spin,The dim [wugs],The dim [wugs] spin,The dim [wugs] spins,7
153,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],lean,The matte [wugs],The matte [wugs] lean,The matte [wugs] leans,7
154,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],drinks,The sharp [wug],The sharp [wug] drinks,The sharp [wug] drink,7
155,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],arrive,The biting [wugs],The biting [wugs] arrive,The biting [wugs] arrives,7
156,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],rises,The inert [wug],The inert [wug] rises,The inert [wug] rise,7
157,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],drink,The faded [wugs],The faded [wugs] drink,The faded [wugs] drinks,7
158,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],roots,The bent [wug],The bent [wug] roots,The bent [wug] root,7
159,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],sail,The angry [wugs],The angry [wugs] sail,The angry [wugs] sails,7
160,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],arrive,The clear [wugs],The clear [wugs] arrive,The clear [wugs] arrives,7
161,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],rises,The stout [wug],The stout [wug] rises,The stout [wug] rise,7
162,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],dive,The frantic [wugs],The frantic [wugs] dive,The frantic [wugs] dives,7
163,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],clear,The mature [wugs],The mature [wugs] clear,The mature [wugs] clears,7
164,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],dives,The manic [wug],The manic [wug] dives,The manic [wug] dive,7
165,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],drums,The icy [wug],The icy [wug] drums,The icy [wug] drum,7
166,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],drink,The manic [wugs],The manic [wugs] drink,The manic [wugs] drinks,7
167,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],sails,The biting [wug],The biting [wug] sails,The biting [wug] sail,7
168,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],spins,The rapid [wug],The rapid [wug] spins,The rapid [wug] spin,7
169,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],dives,The wide [wug],The wide [wug] dives,The wide [wug] dive,7
170,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],feed,The wary [wugs],The wary [wugs] feed,The wary [wugs] feeds,7
171,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],drum,The shiny [wugs],The shiny [wugs] drum,The shiny [wugs] drums,7
172,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],clear,The bitter [wugs],The bitter [wugs] clear,The bitter [wugs] clears,7
173,test,verb,0,sg,target_verb_num_sg_att0_pl,[wug],drums,The slender [wug],The slender [wug] drums,The slender [wug] drum,7
174,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],rise,The cloudy [wugs],The cloudy [wugs] rise,The cloudy [wugs] rises,7
175,test,verb,0,pl,target_verb_num_pl_att0_sg,[wugs],rise,The graceful [wugs],The graceful [wugs] rise,The graceful [wugs] rises,7
